name,long,lat
fraxinus pennsylvanica,-90.25018787,38.58296905
other,-90.2508185,38.59478714
other,-90.23084305,38.7256729
quercus palustris,-90.23021661,38.72671965
other,-90.24021748,38.72227452
other,-90.2379552,38.72252555
other,-90.22848005,38.72628545
other,-90.23407631,38.72358425
other,-90.23233713,38.72133306
other,-90.29327367,38.6611326
platanus acerifolia,-90.23476714,38.71544951
other,-90.23597189,38.71458338
other,-90.23641687,38.7146623
other,-90.2831784,38.64974326
pyrus calleryana,-90.28453078,38.64987
other,-90.28084818,38.65358695
other,-90.29020235,38.64995582
other,-90.2553872,38.60021771
other,-90.25180161,38.6006653
other,-90.2503033,38.60052061
other,-90.25693988,38.60314156
quercus palustris,-90.23920983,38.71915947
other,-90.23968739,38.71831277
other,-90.23666554,38.71463445
tilia cordata,-90.28480267,38.64975232
other,-90.27684327,38.65308065
other,-90.27606917,38.65323163
tilia cordata,-90.28479582,38.64852385
pyrus calleryana,-90.28078112,38.64813357
quercus palustris,-90.2445223,38.59843672
quercus palustris,-90.24377253,38.7196767
acer rubrum,-90.24085775,38.71866107
other,-90.26035353,38.66499528
other,-90.26135649,38.6635874
acer saccharum,-90.28241238,38.66051443
acer rubrum,-90.23729252,38.71320676
pyrus calleryana,-90.28470651,38.64867287
tilia cordata,-90.28455738,38.64850393
other,-90.28965294,38.64892732
other,-90.29412559,38.65034017
platanus acerifolia,-90.25834565,38.6005585
acer rubrum,-90.25337976,38.60169944
acer rubrum,-90.25520064,38.60278964
other,-90.23556633,38.71114636
quercus palustris,-90.19805977,38.74718193
other,-90.29320686,38.65025959
other,-90.25826142,38.60117611
other,-90.25940869,38.60138077
quercus palustris,-90.24885198,38.58168594
pyrus calleryana,-90.24871165,38.58321385
other,-90.25201962,38.58293307
acer saccharum,-90.24607772,38.58755124
other,-90.24788911,38.58864878
other,-90.24874306,38.58709915
other,-90.25104359,38.5880732
acer saccharum,-90.25151186,38.58598113
pyrus calleryana,-90.24654828,38.59631502
gleditsia triacanthos,-90.24332466,38.59739559
quercus palustris,-90.24569409,38.59762701
other,-90.24542123,38.59744438
acer rubrum,-90.24620083,38.59747229
other,-90.24748588,38.59748851
acer platanoides,-90.24107607,38.7183089
other,-90.22799833,38.70895995
other,-90.1958699,38.74974561
other,-90.26882533,38.66188116
other,-90.26835373,38.66487393
other,-90.2491634,38.58454995
acer saccharum,-90.24991074,38.58539637
gleditsia triacanthos,-90.23304409,38.71419846
acer rubrum,-90.28331617,38.64853961
other,-90.28492568,38.64963864
